filename,label,prediction,wo_prediction,correct,image_url,categories1,categories2,categories3,categories4,question_text
178.png,horse,horse the image is of a horse because it has four legs and is standing on the ground.,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/178.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
178.png,horse,horse,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/178.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
807.png,frog,cat the image is of a cat because it has a long tail pointy ears and a small face.,cat,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/807.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
807.png,frog,cat,cat,0,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/807.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
925.png,deer,deer the image is of a deer because it has antlers and is in a grassy field.,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/925.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
925.png,deer,deer,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/925.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
521.png,deer,deer the image is of a deer because it has antlers and is in a field with grass.,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/521.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
521.png,deer,deer,deer,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/521.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
329.png,horse,horse the image is of a horse because it is an animal with four legs and a mane and long tail.,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/329.png,Good,Somewhat Good,Somewhat Bad,Bad,How good is this generated explanation for the image?
329.png,horse,horse,horse,1,https://surveyimages1419615.s3.us-west-1.amazonaws.com/upscaled_images/329.png,Yes,No,<empty> do not select.,<empty> do not select.,Was this image classified correctly?
